population size 1000 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
9,30,56,47.1,0.06345701217651367
10,34,56,46.64,0.06905317306518555
11,34,56,47.2,0.08253717422485352
12,36,56,47.76,0.09302020072937012
13,34,56,47.28,0.07627367973327637
14,34,56,47.46,0.0575871467590332
15,30,56,47.06,0.057427167892456055
16,36,56,47.66,0.055960893630981445
17,38,56,47.9,0.05551266670227051
18,24,56,47.68,0.053560495376586914
19,24,56,47.34,0.054991722106933594
20,38,56,47.66,0.05670666694641113
21,28,56,47.36,0.05618906021118164
22,28,56,47.56,0.05666065216064453
23,28,56,46.92,0.0538182258605957
24,24,56,47.12,0.05422806739807129
25,24,56,47.0,0.05327200889587402
26,34,56,47.92,0.05365729331970215
27,30,56,47.08,0.05377793312072754
28,30,56,47.2,0.05203866958618164
29,28,56,47.4,0.05715489387512207
30,32,56,47.66,0.054572343826293945
31,34,56,47.48,0.05351591110229492
32,34,56,48.58,0.05184292793273926
33,30,56,46.96,0.053321123123168945
34,28,56,47.88,0.05267000198364258
35,24,56,48.36,0.05369687080383301
36,38,56,48.68,0.05175447463989258
37,24,56,48.46,0.05196857452392578
38,34,56,48.02,0.05120134353637695
39,34,56,48.46,0.05169796943664551
40,30,56,48.4,0.052155256271362305
41,34,56,49.02,0.05414700508117676
42,30,56,48.88,0.051137685775756836
43,38,56,48.66,0.04990053176879883
44,32,56,48.3,0.052755117416381836
45,32,56,48.72,0.05048227310180664
46,34,56,48.42,0.052748918533325195
47,36,56,49.02,0.050737857818603516
48,36,56,48.56,0.05006766319274902
49,34,56,48.66,0.050627708435058594
50,34,56,48.92,0.05017852783203125
51,36,56,49.56,0.05078768730163574
52,24,56,49.5,0.04941844940185547
53,36,56,48.76,0.04969000816345215
54,0,56,48.62,0.05022788047790527
55,36,56,49.12,0.04862332344055176
56,36,56,50.36,0.050528526306152344
57,36,56,49.2,0.04872250556945801
58,34,56,49.38,0.04962635040283203
59,34,56,49.22,0.04752016067504883
60,34,56,48.74,0.05003476142883301
61,30,56,49.06,0.04927778244018555
62,34,56,49.52,0.04997825622558594
63,32,56,49.7,0.048692941665649414
64,36,56,49.78,0.05539131164550781
65,40,56,49.66,0.0486907958984375
66,40,56,49.72,0.04879879951477051
67,32,56,48.54,0.049098968505859375
68,34,56,48.6,0.049042463302612305
69,24,56,48.3,0.05065584182739258
70,36,56,48.58,0.04919600486755371
71,34,56,48.36,0.05015420913696289
72,32,56,48.66,0.05121135711669922
73,32,56,49.1,0.047734975814819336
74,22,56,47.88,0.04973626136779785
75,38,56,48.8,0.0487213134765625
76,12,56,48.8,0.04926180839538574
77,32,56,49.0,0.0478062629699707
78,20,56,49.56,0.04772353172302246
79,32,56,48.9,0.04772377014160156
80,40,56,48.98,0.04662799835205078
81,32,56,48.94,0.05420875549316406
82,36,56,49.74,0.04732036590576172
83,32,56,49.3,0.04783511161804199
84,28,56,49.4,0.04894852638244629
85,40,56,50.36,0.046669721603393555
86,28,56,49.52,0.04813075065612793
87,34,56,49.92,0.047210693359375
88,34,56,50.08,0.04772162437438965
89,38,56,50.04,0.05398368835449219
90,32,56,49.16,0.0526270866394043
91,36,56,49.74,0.04615974426269531
92,36,56,49.14,0.04764842987060547
93,34,56,49.34,0.04625344276428223
94,28,56,49.54,0.04570913314819336
95,40,56,50.24,0.04676055908203125
96,38,56,49.8,0.04745292663574219
97,38,56,49.64,0.04620480537414551
98,40,56,50.02,0.05367112159729004
99,26,56,49.6,0.048764944076538086
100,38,56,49.8,0.04662942886352539
population size 500 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
0,20,56,46.228
1,24,56,46.464,0.518789529800415
2,26,56,46.548,0.5061864852905273
3,22,56,46.408,0.5124979019165039
4,24,56,46.692,0.48119115829467773
5,32,56,46.86,0.48589134216308594
6,24,56,46.828,0.4783289432525635
7,28,56,46.948,0.49245429039001465
8,28,56,46.596,0.49834275245666504
9,26,56,46.612,0.4929075241088867
10,30,56,46.804,0.49235033988952637
11,22,56,47.056,0.5136120319366455
12,28,56,47.08,0.4923419952392578
13,30,56,47.124,0.5017790794372559
14,26,56,47.356,0.4864695072174072
15,32,56,46.984,0.5020670890808105
16,28,56,46.984,0.501732349395752
17,30,56,46.732,0.513596773147583
18,30,56,46.924,0.49445295333862305
19,22,56,47.196,0.4922332763671875
20,30,56,47.192,0.4725322723388672
21,30,56,47.192,0.48330163955688477
22,32,56,47.148,0.46712255477905273
23,22,56,46.796,0.4646570682525635
24,30,56,47.248,0.47390246391296387
25,34,56,47.7,0.4533205032348633
26,36,56,47.712,0.46679115295410156
27,22,56,47.484,0.46985697746276855
28,20,56,47.44,0.46634435653686523
29,24,56,47.392,0.45371460914611816
30,32,56,47.464,0.45619630813598633
31,28,56,47.988,0.45462512969970703
32,12,56,47.644,0.4609818458557129
33,20,56,47.728,0.46024608612060547
34,20,56,47.564,0.47985267639160156
35,20,56,47.504,0.45180344581604004
36,28,56,47.848,0.46069860458374023
37,24,56,47.476,0.4634697437286377
38,24,56,47.828,0.4639317989349365
39,28,56,47.3,0.4582366943359375
40,22,56,47.472,0.4738647937774658
41,24,56,47.532,0.4685225486755371
42,28,56,47.74,0.45081329345703125
43,24,56,47.756,0.45816993713378906
44,30,56,47.916,0.446073055267334
45,24,56,47.556,0.4493844509124756
46,30,56,47.772,0.4662203788757324
47,32,56,48.028,0.4478015899658203
48,30,56,47.992,0.45689940452575684
49,28,56,47.9,0.45739102363586426
50,22,56,47.884,0.46799516677856445
51,28,56,48.052,0.46271228790283203
52,20,56,48.168,0.4425933361053467
53,28,56,48.648,0.45134615898132324
54,28,56,48.368,0.4524106979370117
55,24,56,47.64,0.4326796531677246
56,20,56,47.98,0.4466729164123535
57,24,56,48.06,0.44962215423583984
58,28,56,47.94,0.4347562789916992
59,20,56,48.26,0.4378526210784912
60,28,56,48.604,0.44456982612609863
61,34,56,48.336,0.4391305446624756
62,24,56,48.176,0.4462316036224365
63,30,56,48.24,0.42859768867492676
64,24,56,48.092,0.4439401626586914
65,34,56,48.404,0.4496424198150635
66,32,56,48.516,0.43698573112487793
67,20,56,48.56,0.43394017219543457
68,28,56,48.772,0.4437530040740967
69,34,56,48.312,0.4286973476409912
70,28,56,48.42,0.4319298267364502
71,28,56,48.576,0.43401312828063965
72,32,56,48.78,0.42088818550109863
73,34,56,48.608,0.4292600154876709
74,26,56,48.6,0.429898738861084
75,24,56,48.248,0.42971205711364746
76,34,56,48.648,0.43026185035705566
77,24,56,48.632,0.43666911125183105
78,28,56,48.688,0.4268054962158203
79,24,56,48.64,0.4538581371307373
80,32,56,48.676,0.42623162269592285
81,24,56,48.588,0.43338727951049805
82,28,56,48.48,0.42875242233276367
83,30,56,48.476,0.42441725730895996
84,30,56,48.64,0.450671911239624
85,28,56,48.648,0.4260094165802002
86,28,56,48.804,0.4197971820831299
87,20,56,48.708,0.4367837905883789
88,34,56,48.652,0.4250359535217285
89,32,56,48.828,0.42321348190307617
90,34,56,48.912,0.4274909496307373
91,20,56,48.704,0.4171724319458008
92,30,56,48.596,0.4246203899383545
93,24,56,49.08,0.4215128421783447
94,24,56,48.872,0.42289233207702637
95,28,56,48.952,0.4276282787322998
96,20,56,48.988,0.41652393341064453
97,30,56,48.764,0.41782212257385254
98,30,56,49.008,0.4254305362701416
99,28,56,49.18,0.4238152503967285
100,28,56,49.136,0.42407917976379395
